event_id,event_date,landslide_category,landslide_trigger,landslide_size,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count,injury_count
5008,7/1/2013 0:00,landslide,downpour,small,1655,11.16865,-83.1068,35.4134,0,
9140,6/14/2016 10:00,rock_fall,downpour,medium,28428,0.76703,18.1014,42.6493,0,0
2989,1/12/2011 4:00,mudslide,downpour,very_large,123979,0.08737,-42.9664,-22.4123,424,
9649,2/18/2012 0:00,landslide,tropical_cyclone,medium,29212,15.51882,48.3774,-18.9481,0,0
10002,6/27/2017 13:10,landslide,continuous_rain,medium,,,77.08971658,9.751185639,0,0
1304,11/16/2009 0:00,landslide,downpour,small,3931,18.5514,-123.0626,47.4997,0,
7293,7/27/2015 18:00,landslide,downpour,small,100561,3.64088,99.2454,1.3994,7,3
3959,9/1/2011 0:00,landslide,downpour,medium,11300,16.38336,34.3082,1.4394,0,
409,1/4/2008 0:00,landslide,rain,medium,31801,2.68849,105.9,20.5667,3,
7197,7/12/2015 13:00,landslide,continuous_rain,small,1036,1.55911,-80.5741,40.21,0,0
3274,3/24/2011 9:00,landslide,downpour,small,2666,1.04896,-122.521,37.8695,0,
5699,12/19/2013 0:00,landslide,unknown,medium,493698,4.46394,107.5782,-6.8911,1,
4655,12/5/2012 0:00,landslide,rain,medium,146000,1.19636,-70.6871,19.7827,,
5096,7/14/2013 0:00,landslide,downpour,small,75996,61.30122,176.257,-40.1119,0,
2004,6/20/2010 0:00,landslide,downpour,medium,18399,4.66064,-0.2072,5.8215,0,
3456,5/3/2011 9:00,mudslide,downpour,medium,25527,3.61757,-84.8703,38.1684,0,
425,1/15/2008 0:00,landslide,rain,medium,610268,0.06972,-4.2571,55.8657,,
8044,12/20/2015 5:10,landslide,unknown,unknown,1312,5.91065,-123.927,45.6654,0,0
2528,10/1/2010 0:00,mudslide,downpour,medium,442156,12.13199,-72.4577,18.4468,3,
8124,6/23/2016 0:00,landslide,rain,medium,0,3.29195,109.6666,-7.4001,6,0
2763,11/27/2010 23:00,landslide,downpour,medium,0,5.74106,-66.9431,10.4669,2,
1231,10/8/2009 0:00,landslide,tropical_cyclone,medium,2803,3.49004,120.8163,16.9643,50,
1815,5/3/2010 0:00,mudslide,downpour,small,365,0.00435,-83.3732,37.1609,0,
9332,2/24/2016 23:00,landslide,rain,medium,5951,1.30267,-80.0813,40.4372,0,0
2479,9/20/2010 0:00,landslide,downpour,medium,1495,47.04689,78.2844,31.5699,0,
7736,6/2/2016 2:00,rock_fall,downpour,small,874587,2.4424,80.6526,16.5145,1,1
7040,7/1/2015 0:00,landslide,downpour,medium,123797,10.64172,88.167,26.9978,1,0
5978,3/31/2014 15:00,landslide,rain,small,65000,3.70061,69.5546,35.3047,0,0
7457,9/6/2015 0:00,landslide,continuous_rain,medium,27753,0.74414,-88.7731,14.7698,0,0
7541,3/2/2016 8:00,rock_fall,unknown,small,2066,1.78429,-72.4066,43.4771,0,0
5423,8/31/2013 8:04,landslide,earthquake,large,0,5.05392,99.4,28.2,1,3
6099,6/23/2014 0:00,landslide,continuous_rain,medium,5827,32.69694,-84.7928,12.3484,0,0
8629,3/22/2012 5:23,landslide,unknown,unknown,1133,17.89697,-124.3966,42.6027,0,0
3967,9/8/2011 0:00,landslide,rain,medium,15311,3.64818,-74.5007,40.6383,0,
5778,1/14/2014 0:00,landslide,tropical_cyclone,medium,8303,0.21877,124.980934,10.3863054,0,0
3939,8/22/2011 0:00,landslide,downpour,medium,9073,45.02017,82.1707,28.8687,3,
1212,10/3/2009 0:00,landslide,downpour,medium,24648,7.35169,75.8289,11.4477,,
4992,6/27/2013 0:00,mudslide,rain,small,47376,2.11425,-75.9324,42.1144,0,
7147,4/14/2015 0:00,rock_fall,downpour,small,486,14.80972,-83.4667,37.9951,0,0
6782,9/28/2011 0:00,landslide,rain,medium,46427,6.71494,88.3372,26.8545,0,0
4250,3/9/2012 23:00,mudslide,downpour,medium,0,12.14612,-73.8721,-15.746,3,
6742,2/4/2015 4:15,mudslide,unknown,small,10389,3.14837,-120.7629,38.733,0,0
7272,7/23/2015 0:00,landslide,continuous_rain,small,4525,16.23185,-117.8098,34.3618,0,0
3650,6/24/2011 0:00,landslide,tropical_cyclone,very_large,11035,1.72622,121.0335,14.6444,0,
1971,6/15/2010 0:00,debris_flow,downpour,medium,5910,0.78686,6.4793,43.4641,0,
7340,7/4/2015 0:00,landslide,rain,small,416427,3.81487,-104.8538,38.8117,0,0
6121,7/1/2014 23:00,landslide,downpour,medium,0,12.94968,136.3632,-3.814,13,2
2527,10/1/2010 0:00,landslide,downpour,medium,2833,0.25254,-84.1762,9.9108,0,
8856,1/13/2011 1:00,landslide,unknown,unknown,1737,12.18932,-123.2577,45.9974,0,0
4806,4/17/2013 23:30,mudslide,rain,medium,67862,1.40658,-91.5322,41.6737,,
4494,8/18/2012 0:00,mudslide,downpour,medium,0,30.55804,103.8764,31.3161,,
8418,12/22/2014 7:07,landslide,unknown,unknown,1737,2.49366,-123.2274,46.1185,0,0
4249,3/8/2012 19:00,mudslide,downpour,small,31364,9.87331,-84.3918,37.7922,0,
9348,5/13/2016 0:00,mudslide,downpour,small,1080,7.05972,8.9745,46.8598,1,0
5607,10/16/2013 8:00,mudslide,tropical_cyclone,very_large,71578,36.32067,139.3785,34.7476,39,
1604,3/30/2010 8:00,mudslide,rain,medium,11051,2.69877,-91.28401244,40.63499096,0,
846,10/15/2008 0:00,complex,downpour,medium,69302,6.82239,101.746,3.0949,,
5754,1/7/2014 9:00,landslide,unknown,medium,2184,2.38605,-61.4285,15.421,0,0
6891,3/15/2015 0:00,landslide,continuous_rain,small,14965,3.17259,74.5594,34.1327,0,0
594,6/19/2008 0:00,mudslide,monsoon,medium,223523,18.23429,93.8275,24.9336,,
1848,5/7/2010 8:00,complex,downpour,large,78786,1.83411,69.8054,37.9148,21,
1573,3/15/2010 0:00,landslide,downpour,medium,7423,1.24184,44.706,41.8393,0,
7669,8/13/2015 19:00,landslide,downpour,small,1453975,10.45008,101.7805,3.1425,0,0
7673,5/4/2016 0:00,landslide,unknown,medium,2132,0.33009,120.9695,17.0821,0,0
6560,12/16/2014 9:00,mudslide,rain,small,8962,1.80137,-122.4614,37.8893,0,0
